Date,Attribute,Value
1989/01/25,$5 notes,232.56
1989/01/25,$10 notes,631.76
1989/01/25,$20 notes,2490.13
1989/01/25,$50 notes,3949.91
1989/01/25,$100 notes,4510.52
1989/02/22,$5 notes,231.16
1989/02/22,$10 notes,624.09
1989/02/22,$20 notes,2445.01
1989/02/22,$50 notes,3921.52
1989/02/22,$100 notes,4522.54
1989/03/29,$5 notes,243.74
1989/03/29,$10 notes,670.37
1989/03/29,$20 notes,2638.38
1989/03/29,$50 notes,4051.77
1989/03/29,$100 notes,4650.70
1989/04/26,$5 notes,238.50
1989/04/26,$10 notes,643.65
1989/04/26,$20 notes,2534.28
1989/04/26,$50 notes,3993.23
1989/04/26,$100 notes,4657.82
1989/05/31,$5 notes,233.90
1989/05/31,$10 notes,625.22
1989/05/31,$20 notes,2438.15
1989/05/31,$50 notes,3932.99
1989/05/31,$100 notes,4683.97
1989/06/28,$5 notes,236.72
1989/06/28,$10 notes,630.19
1989/06/28,$20 notes,2478.26
1989/06/28,$50 notes,3991.56
1989/06/28,$100 notes,4766.73
1989/07/26,$5 notes,236.12
1989/07/26,$10 notes,629.50
1989/07/26,$20 notes,2471.15
1989/07/26,$50 notes,4011.51
1989/07/26,$100 notes,4817.60
1989/08/30,$5 notes,236.16
1989/08/30,$10 notes,624.66
1989/08/30,$20 notes,2457.84
1989/08/30,$50 notes,4003.35
1989/08/30,$100 notes,4848.00
1989/09/27,$5 notes,234.75
1989/09/27,$10 notes,642.70
1989/09/27,$20 notes,2496.22
1989/09/27,$50 notes,4060.93
1989/09/27,$100 notes,4890.46
1989/10/25,$5 notes,224.73
1989/10/25,$10 notes,666.82
1989/10/25,$20 notes,2384.15
1989/10/25,$50 notes,4077.73
1989/10/25,$100 notes,4913.59
1989/11/29,$5 notes,224.08
1989/11/29,$10 notes,702.06
1989/11/29,$20 notes,2345.86
1989/11/29,$50 notes,4177.52
1989/11/29,$100 notes,5002.46
1989/12/27,$5 notes,243.42
1989/12/27,$10 notes,829.07
1989/12/27,$20 notes,2683.79
1989/12/27,$50 notes,4686.69
1989/12/27,$100 notes,5364.78
1990/01/31,$5 notes,221.96
1990/01/31,$10 notes,706.04
1990/01/31,$20 notes,2321.56
1990/01/31,$50 notes,4215.81
1990/01/31,$100 notes,5069.02
1990/02/28,$5 notes,222.63
1990/02/28,$10 notes,684.87
1990/02/28,$20 notes,2269.66
1990/02/28,$50 notes,4200.96
1990/02/28,$100 notes,5088.32
1990/03/28,$5 notes,224.60
1990/03/28,$10 notes,687.74
1990/03/28,$20 notes,2269.93
1990/03/28,$50 notes,4230.43
1990/03/28,$100 notes,5108.97
1990/04/25,$5 notes,231.01
1990/04/25,$10 notes,726.82
1990/04/25,$20 notes,2359.06
1990/04/25,$50 notes,4332.43
1990/04/25,$100 notes,5162.56
1990/05/30,$5 notes,228.31
