Series_ID,Attribute,Value
2014/03/01,Bread,2
2014/03/01,Beef and Veal,-0.3
2014/03/01,Milk,-0.4
2014/03/01,Cheese,1.9
2014/03/01,Ice Cream and Other Dairy,1
2014/03/01,Eggs,4.5
2014/03/01,Take Away and Meals Out,2.2
2014/03/01,Alcohol and Tabacco,7
2014/03/01,Rent,1.9
2014/03/01,Electricity,2.5
2014/03/01,Pharamacy,1.4
2014/03/01,Dental,1.5
2014/06/01,Bread,1.3
2014/06/01,Beef and Veal,1.9
2014/06/01,Milk,0.6
2014/06/01,Cheese,8.7
2014/06/01,Ice Cream and Other Dairy,1.4
2014/06/01,Eggs,6.7
2014/06/01,Take Away and Meals Out,2.3
2014/06/01,Alcohol and Tabacco,7.3
2014/06/01,Rent,1.7
2014/06/01,Electricity,2.5
2014/06/01,Pharamacy,1.6
2014/06/01,Dental,1.1
2014/09/01,Bread,-1.2
2014/09/01,Beef and Veal,5.1
2014/09/01,Milk,-1
2014/09/01,Cheese,7.4
2014/09/01,Ice Cream and Other Dairy,0.4
2014/09/01,Eggs,8.7
2014/09/01,Take Away and Meals Out,2.5
2014/09/01,Alcohol and Tabacco,7.4
2014/09/01,Rent,1.9
2014/09/01,Electricity,-6.2
2014/09/01,Pharamacy,0.9
2014/09/01,Dental,2.5
2014/12/01,Bread,-3.4
2014/12/01,Beef and Veal,4.6
2014/12/01,Milk,-1.6
2014/12/01,Cheese,7.1
2014/12/01,Ice Cream and Other Dairy,-1.8
2014/12/01,Eggs,2.9
2014/12/01,Take Away and Meals Out,3.1
2014/12/01,Alcohol and Tabacco,7.7
2014/12/01,Rent,2.4
2014/12/01,Electricity,-6.2
2014/12/01,Pharamacy,-0.9
2014/12/01,Dental,2.6
2015/03/01,Bread,-6.4
2015/03/01,Beef and Veal,4.8
2015/03/01,Milk,0.1
2015/03/01,Cheese,6.9
2015/03/01,Ice Cream and Other Dairy,0.9
2015/03/01,Eggs,0
2015/03/01,Take Away and Meals Out,3.1
2015/03/01,Alcohol and Tabacco,5.6
