Date,Attribute,Value
1994/12/14,Cash_Rate_Target,7.5
1994/12/14,Exchange_Settlement_Rate,7.4
1994/12/14,Overnight_Repo_Rate,7.75
1996/07/31,Cash_Rate_Target,7
1996/07/31,Exchange_Settlement_Rate,6.9
1996/07/31,Overnight_Repo_Rate,7.25
1996/11/06,Cash_Rate_Target,6.5
1996/11/06,Exchange_Settlement_Rate,6.4
1996/11/06,Overnight_Repo_Rate,6.75
1996/12/11,Cash_Rate_Target,6
1996/12/11,Exchange_Settlement_Rate,5.9
1996/12/11,Overnight_Repo_Rate,6.25
1997/05/23,Cash_Rate_Target,5.5
1997/05/23,Exchange_Settlement_Rate,5.4
1997/05/23,Overnight_Repo_Rate,5.75
1997/07/30,Cash_Rate_Target,5
1997/07/30,Exchange_Settlement_Rate,4.9
1997/07/30,Overnight_Repo_Rate,5.25
1997/10/01,Cash_Rate_Target,5
1997/10/01,Exchange_Settlement_Rate,4.75
1997/10/01,Overnight_Repo_Rate,5.25
1998/12/02,Cash_Rate_Target,4.75
1998/12/02,Exchange_Settlement_Rate,4.5
1998/12/02,Overnight_Repo_Rate,5
1999/11/03,Cash_Rate_Target,5
1999/11/03,Exchange_Settlement_Rate,4.75
1999/11/03,Overnight_Repo_Rate,5.25
2000/02/02,Cash_Rate_Target,5.5
2000/02/02,Exchange_Settlement_Rate,5.25
2000/02/02,Overnight_Repo_Rate,5.75
2000/04/05,Cash_Rate_Target,5.75
2000/04/05,Exchange_Settlement_Rate,5.5
2000/04/05,Overnight_Repo_Rate,6
2000/05/03,Cash_Rate_Target,6
2000/05/03,Exchange_Settlement_Rate,5.75
2000/05/03,Overnight_Repo_Rate,6.25
2000/08/02,Cash_Rate_Target,6.25
2000/08/02,Exchange_Settlement_Rate,6
2000/08/02,Overnight_Repo_Rate,6.5
2001/02/07,Cash_Rate_Target,5.75
2001/02/07,Exchange_Settlement_Rate,5.5
2001/02/07,Overnight_Repo_Rate,6
2001/03/07,Cash_Rate_Target,5.5
2001/03/07,Exchange_Settlement_Rate,5.25
2001/03/07,Overnight_Repo_Rate,5.75
2001/04/04,Cash_Rate_Target,5
2001/04/04,Exchange_Settlement_Rate,4.75
2001/04/04,Overnight_Repo_Rate,5.25
2001/09/05,Cash_Rate_Target,4.75
2001/09/05,Exchange_Settlement_Rate,4.5
2001/09/05,Overnight_Repo_Rate,5
2001/10/03,Cash_Rate_Target,4.5
2001/10/03,Exchange_Settlement_Rate,4.25
2001/10/03,Overnight_Repo_Rate,4.75
2001/12/05,Cash_Rate_Target,4.25
2001/12/05,Exchange_Settlement_Rate,4
2001/12/05,Overnight_Repo_Rate,4.5
2002/05/08,Cash_Rate_Target,4.5
2002/05/08,Exchange_Settlement_Rate,4.25
2002/05/08,Overnight_Repo_Rate,4.75
2002/06/05,Cash_Rate_Target,4.75
2002/06/05,Exchange_Settlement_Rate,4.5
2002/06/05,Overnight_Repo_Rate,5
2003/11/05,Cash_Rate_Target,5
2003/11/05,Exchange_Settlement_Rate,4.75
2003/11/05,Overnight_Repo_Rate,5.25
2003/12/03,Cash_Rate_Target,5.25
2003/12/03,Exchange_Settlement_Rate,5
2003/12/03,Overnight_Repo_Rate,5.5
2005/03/02,Cash_Rate_Target,5.5
2005/03/02,Exchange_Settlement_Rate,5.25
2005/03/02,Overnight_Repo_Rate,5.75
2006/05/03,Cash_Rate_Target,5.75
2006/05/03,Exchange_Settlement_Rate,5.5
2006/05/03,Overnight_Repo_Rate,6
2006/08/02,Cash_Rate_Target,6
2006/08/02,Exchange_Settlement_Rate,5.75
2006/08/02,Overnight_Repo_Rate,6.25
2006/11/08,Cash_Rate_Target,6.25
2006/11/08,Exchange_Settlement_Rate,6
2006/11/08,Overnight_Repo_Rate,6.5
2007/08/08,Cash_Rate_Target,6.5
2007/08/08,Exchange_Settlement_Rate,6.25
2007/08/08,Overnight_Repo_Rate,6.75
2007/11/07,Cash_Rate_Target,6.75
2007/11/07,Exchange_Settlement_Rate,6.5
2007/11/07,Overnight_Repo_Rate,7
2008/02/06,Cash_Rate_Target,7
2008/02/06,Exchange_Settlement_Rate,6.75
2008/02/06,Overnight_Repo_Rate,7.25
2008/03/05,Cash_Rate_Target,7.25
2008/03/05,Exchange_Settlement_Rate,7
2008/03/05,Overnight_Repo_Rate,7.5
2008/09/03,Cash_Rate_Target,7
2008/09/03,Exchange_Settlement_Rate,6.75
2008/09/03,Overnight_Repo_Rate,7.25
2008/10/08,Cash_Rate_Target,6
2008/10/08,Exchange_Settlement_Rate,5.75
2008/10/08,Overnight_Repo_Rate,6.25
2008/11/05,Cash_Rate_Target,5.25
2008/11/05,Exchange_Settlement_Rate,5
2008/11/05,Overnight_Repo_Rate,5.5
2008/12/03,Cash_Rate_Target,4.25
2008/12/03,Exchange_Settlement_Rate,4
2008/12/03,Overnight_Repo_Rate,4.5
2009/02/04,Cash_Rate_Target,3.25
2009/02/04,Exchange_Settlement_Rate,3
2009/02/04,Overnight_Repo_Rate,3.5
2009/04/08,Cash_Rate_Target,3
2009/04/08,Exchange_Settlement_Rate,2.75
2009/04/08,Overnight_Repo_Rate,3.25
2009/10/07,Cash_Rate_Target,3.25
2009/10/07,Exchange_Settlement_Rate,3
2009/10/07,Overnight_Repo_Rate,3.5
2009/11/04,Cash_Rate_Target,3.5
2009/11/04,Exchange_Settlement_Rate,3.25
2009/11/04,Overnight_Repo_Rate,3.75
2009/12/02,Cash_Rate_Target,3.75
