Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Employment to population rate (%)
Capital Region,2025/08/01,15-24 years,Males,69.68092525
Capital Region,2025/08/01,15-24 years,Females,71.44418477
Capital Region,2025/08/01,25-34 years,Males,89.14988327
Capital Region,2025/08/01,25-34 years,Females,82.27279636
Capital Region,2025/08/01,35-44 years,Males,89.31541053
Capital Region,2025/08/01,35-44 years,Females,85.88326891
Capital Region,2025/08/01,45-54 years,Males,83.67399206
Capital Region,2025/08/01,45-54 years,Females,79.512071
Capital Region,2025/08/01,55-64 years,Males,66.1589187
Capital Region,2025/08/01,55-64 years,Females,64.58027775
Capital Region,2025/08/01,65 years and over,Males,17.73772685
Capital Region,2025/08/01,65 years and over,Females,12.29834832
Capital Region,2025/07/01,15-24 years,Males,70.46901929
Capital Region,2025/07/01,15-24 years,Females,73.04922983
Capital Region,2025/07/01,25-34 years,Males,89.81848303
Capital Region,2025/07/01,25-34 years,Females,82.97430137
Capital Region,2025/07/01,35-44 years,Males,89.74257259
Capital Region,2025/07/01,35-44 years,Females,86.49551034
Capital Region,2025/07/01,45-54 years,Males,84.12010327
Capital Region,2025/07/01,45-54 years,Females,80.13284543
Capital Region,2025/07/01,55-64 years,Males,66.98958356
Capital Region,2025/07/01,55-64 years,Females,65.36851131
Capital Region,2025/07/01,65 years and over,Males,18.47931638
Capital Region,2025/07/01,65 years and over,Females,12.93946815
Capital Region,2025/06/01,15-24 years,Males,69.74827593
Capital Region,2025/06/01,15-24 years,Females,72.3092538
Capital Region,2025/06/01,25-34 years,Males,90.20835436
Capital Region,2025/06/01,25-34 years,Females,82.83088284
Capital Region,2025/06/01,35-44 years,Males,89.67940671
Capital Region,2025/06/01,35-44 years,Females,86.38218093
Capital Region,2025/06/01,45-54 years,Males,83.71699558
Capital Region,2025/06/01,45-54 years,Females,79.82271036
Capital Region,2025/06/01,55-64 years,Males,66.52157914
Capital Region,2025/06/01,55-64 years,Females,65.11139111
Capital Region,2025/06/01,65 years and over,Males,18.57028021
Capital Region,2025/06/01,65 years and over,Females,13.21820073
Capital Region,2025/05/01,15-24 years,Males,69.59361354
Capital Region,2025/05/01,15-24 years,Females,72.92135617
Capital Region,2025/05/01,25-34 years,Males,90.72943029
Capital Region,2025/05/01,25-34 years,Females,82.97094494
Capital Region,2025/05/01,35-44 years,Males,89.86759982
Capital Region,2025/05/01,35-44 years,Females,86.41817238
Capital Region,2025/05/01,45-54 years,Males,83.66394194
Capital Region,2025/05/01,45-54 years,Females,79.79074225
Capital Region,2025/05/01,55-64 years,Males,66.32653001
Capital Region,2025/05/01,55-64 years,Females,65.50918954
Capital Region,2025/05/01,65 years and over,Males,18.94987909
Capital Region,2025/05/01,65 years and over,Females,13.72439492
Capital Region,2025/04/01,15-24 years,Males,69.67196152
Capital Region,2025/04/01,15-24 years,Females,73.29629445
Capital Region,2025/04/01,25-34 years,Males,91.13138831
Capital Region,2025/04/01,25-34 years,Females,82.58260577
Capital Region,2025/04/01,35-44 years,Males,89.81145544
Capital Region,2025/04/01,35-44 years,Females,86.1104655
Capital Region,2025/04/01,45-54 years,Males,83.42445185
Capital Region,2025/04/01,45-54 years,Females,79.76791928
Capital Region,2025/04/01,55-64 years,Males,66.22972088
Capital Region,2025/04/01,55-64 years,Females,65.54461618
Capital Region,2025/04/01,65 years and over,Males,19.03901984
Capital Region,2025/04/01,65 years and over,Females,14.17946257
Capital Region,2025/03/01,15-24 years,Males,69.51823172
Capital Region,2025/03/01,15-24 years,Females,72.52481633
Capital Region,2025/03/01,25-34 years,Males,91.01509914
Capital Region,2025/03/01,25-34 years,Females,82.03542433
Capital Region,2025/03/01,35-44 years,Males,89.58363776
Capital Region,2025/03/01,35-44 years,Females,85.5291992
Capital Region,2025/03/01,45-54 years,Males,82.94370186
Capital Region,2025/03/01,45-54 years,Females,79.76409326
Capital Region,2025/03/01,55-64 years,Males,65.5115392
Capital Region,2025/03/01,55-64 years,Females,65.30692613
