Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Capital Region,2025/08/01,15-24 years,Males,76.5849993
Capital Region,2025/08/01,15-24 years,Females,77.238634
Capital Region,2025/08/01,25-34 years,Males,91.30114294
Capital Region,2025/08/01,25-34 years,Females,84.31884795
Capital Region,2025/08/01,35-44 years,Males,91.32188036
Capital Region,2025/08/01,35-44 years,Females,88.48152886
Capital Region,2025/08/01,45-54 years,Males,85.5361661
Capital Region,2025/08/01,45-54 years,Females,81.42842936
Capital Region,2025/08/01,55-64 years,Males,67.97380453
Capital Region,2025/08/01,55-64 years,Females,66.25046883
Capital Region,2025/08/01,65 years and over,Males,18.11967759
Capital Region,2025/08/01,65 years and over,Females,12.40497788
Capital Region,2025/07/01,15-24 years,Males,76.93883515
Capital Region,2025/07/01,15-24 years,Females,78.4181385
Capital Region,2025/07/01,25-34 years,Males,91.68798529
Capital Region,2025/07/01,25-34 years,Females,84.79670717
Capital Region,2025/07/01,35-44 years,Males,91.55937478
Capital Region,2025/07/01,35-44 years,Females,88.80492953
Capital Region,2025/07/01,45-54 years,Males,85.80759258
Capital Region,2025/07/01,45-54 years,Females,81.83943931
Capital Region,2025/07/01,55-64 years,Males,68.62844762
Capital Region,2025/07/01,55-64 years,Females,66.86537166
Capital Region,2025/07/01,65 years and over,Males,18.82358677
Capital Region,2025/07/01,65 years and over,Females,13.02780764
Capital Region,2025/06/01,15-24 years,Males,76.52551889
Capital Region,2025/06/01,15-24 years,Females,77.94308993
Capital Region,2025/06/01,25-34 years,Males,92.19247364
Capital Region,2025/06/01,25-34 years,Females,84.7130718
Capital Region,2025/06/01,35-44 years,Males,91.56296481
Capital Region,2025/06/01,35-44 years,Females,88.75350948
Capital Region,2025/06/01,45-54 years,Males,85.4266052
Capital Region,2025/06/01,45-54 years,Females,81.53297568
Capital Region,2025/06/01,55-64 years,Males,68.21789109
Capital Region,2025/06/01,55-64 years,Females,66.56214752
