Labour market region (SA4): ASGS (2011),Month,Age,Sex,Unemployment rate (%)
Capital Region,2025/08/01,15-24 years,Males,9
Capital Region,2025/08/01,15-24 years,Females,7.5
Capital Region,2025/08/01,25-34 years,Males,2.4
Capital Region,2025/08/01,25-34 years,Females,2.4
Capital Region,2025/08/01,35-44 years,Males,2.2
Capital Region,2025/08/01,35-44 years,Females,2.9
Capital Region,2025/08/01,45-54 years,Males,2.2
Capital Region,2025/08/01,45-54 years,Females,2.4
Capital Region,2025/08/01,55-64 years,Males,2.7
Capital Region,2025/08/01,55-64 years,Females,2.5
Capital Region,2025/08/01,65 years and over,Males,2.1
Capital Region,2025/08/01,65 years and over,Females,0.9
Capital Region,2025/07/01,15-24 years,Males,8.4
Capital Region,2025/07/01,15-24 years,Females,6.8
Capital Region,2025/07/01,25-34 years,Males,2
Capital Region,2025/07/01,25-34 years,Females,2.1
Capital Region,2025/07/01,35-44 years,Males,2
Capital Region,2025/07/01,35-44 years,Females,2.6
Capital Region,2025/07/01,45-54 years,Males,2
Capital Region,2025/07/01,45-54 years,Females,2.1
Capital Region,2025/07/01,55-64 years,Males,2.4
Capital Region,2025/07/01,55-64 years,Females,2.2
Capital Region,2025/07/01,65 years and over,Males,1.8
Capital Region,2025/07/01,65 years and over,Females,0.7
Capital Region,2025/06/01,15-24 years,Males,8.9
Capital Region,2025/06/01,15-24 years,Females,7.2
Capital Region,2025/06/01,25-34 years,Males,2.2
Capital Region,2025/06/01,25-34 years,Females,2.2
Capital Region,2025/06/01,35-44 years,Males,2.1
Capital Region,2025/06/01,35-44 years,Females,2.7
Capital Region,2025/06/01,45-54 years,Males,2
Capital Region,2025/06/01,45-54 years,Females,2.1
Capital Region,2025/06/01,55-64 years,Males,2.5
Capital Region,2025/06/01,55-64 years,Females,2.2
Capital Region,2025/06/01,65 years and over,Males,1.8
Capital Region,2025/06/01,65 years and over,Females,0.8
Capital Region,2025/05/01,15-24 years,Males,9
Capital Region,2025/05/01,15-24 years,Females,7.1
Capital Region,2025/05/01,25-34 years,Males,2.1
Capital Region,2025/05/01,25-34 years,Females,2.4
Capital Region,2025/05/01,35-44 years,Males,2
Capital Region,2025/05/01,35-44 years,Females,2.8
Capital Region,2025/05/01,45-54 years,Males,2
Capital Region,2025/05/01,45-54 years,Females,2
Capital Region,2025/05/01,55-64 years,Males,2.5
Capital Region,2025/05/01,55-64 years,Females,2
Capital Region,2025/05/01,65 years and over,Males,1.7
Capital Region,2025/05/01,65 years and over,Females,1
Capital Region,2025/04/01,15-24 years,Males,8.6
Capital Region,2025/04/01,15-24 years,Females,6.5
Capital Region,2025/04/01,25-34 years,Males,1.9
Capital Region,2025/04/01,25-34 years,Females,2.5
Capital Region,2025/04/01,35-44 years,Males,1.9
Capital Region,2025/04/01,35-44 years,Females,3
Capital Region,2025/04/01,45-54 years,Males,2
Capital Region,2025/04/01,45-54 years,Females,1.9
Capital Region,2025/04/01,55-64 years,Males,2.5
Capital Region,2025/04/01,55-64 years,Females,1.9
Capital Region,2025/04/01,65 years and over,Males,1.6
Capital Region,2025/04/01,65 years and over,Females,1.1
Capital Region,2025/03/01,15-24 years,Males,9.6
Capital Region,2025/03/01,15-24 years,Females,6.9
Capital Region,2025/03/01,25-34 years,Males,2
Capital Region,2025/03/01,25-34 years,Females,3
Capital Region,2025/03/01,35-44 years,Males,2.1
Capital Region,2025/03/01,35-44 years,Females,3.4
Capital Region,2025/03/01,45-54 years,Males,2.2
Capital Region,2025/03/01,45-54 years,Females,2.2
Capital Region,2025/03/01,55-64 years,Males,2.7
Capital Region,2025/03/01,55-64 years,Females,2
Capital Region,2025/03/01,65 years and over,Males,1.7
Capital Region,2025/03/01,65 years and over,Females,1.3
Capital Region,2025/02/01,15-24 years,Males,9.2
Capital Region,2025/02/01,15-24 years,Females,6.8
Capital Region,2025/02/01,25-34 years,Males,2
Capital Region,2025/02/01,25-34 years,Females,3.2
Capital Region,2025/02/01,35-44 years,Males,2.1
Capital Region,2025/02/01,35-44 years,Females,3.1
Capital Region,2025/02/01,45-54 years,Males,2.1
Capital Region,2025/02/01,45-54 years,Females,2
Capital Region,2025/02/01,55-64 years,Males,2.6
Capital Region,2025/02/01,55-64 years,Females,1.9
Capital Region,2025/02/01,65 years and over,Males,1.6
Capital Region,2025/02/01,65 years and over,Females,1.4
Capital Region,2025/01/01,15-24 years,Males,9
Capital Region,2025/01/01,15-24 years,Females,6.7
Capital Region,2025/01/01,25-34 years,Males,1.9
Capital Region,2025/01/01,25-34 years,Females,3.5
Capital Region,2025/01/01,35-44 years,Males,2
Capital Region,2025/01/01,35-44 years,Females,3
Capital Region,2025/01/01,45-54 years,Males,2.1
Capital Region,2025/01/01,45-54 years,Females,2
Capital Region,2025/01/01,55-64 years,Males,2.5
Capital Region,2025/01/01,55-64 years,Females,2
Capital Region,2025/01/01,65 years and over,Males,1.5
Capital Region,2025/01/01,65 years and over,Females,1.5
Capital Region,2024/12/01,15-24 years,Males,7.7
Capital Region,2024/12/01,15-24 years,Females,5.5
Capital Region,2024/12/01,25-34 years,Males,1.6
Capital Region,2024/12/01,25-34 years,Females,2.8
Capital Region,2024/12/01,35-44 years,Males,1.6
Capital Region,2024/12/01,35-44 years,Females,2.5
Capital Region,2024/12/01,45-54 years,Males,1.7
Capital Region,2024/12/01,45-54 years,Females,1.6
Capital Region,2024/12/01,55-64 years,Males,2.1
Capital Region,2024/12/01,55-64 years,Females,1.8
Capital Region,2024/12/01,65 years and over,Males,1.2
Capital Region,2024/12/01,65 years and over,Females,1.2
Capital Region,2024/11/01,15-24 years,Males,8.4
Capital Region,2024/11/01,15-24 years,Females,5.9
Capital Region,2024/11/01,25-34 years,Males,1.9
Capital Region,2024/11/01,25-34 years,Females,3.1
Capital Region,2024/11/01,35-44 years,Males,1.8
Capital Region,2024/11/01,35-44 years,Females,2.7
Capital Region,2024/11/01,45-54 years,Males,1.9
Capital Region,2024/11/01,45-54 years,Females,1.8
Capital Region,2024/11/01,55-64 years,Males,2.3
Capital Region,2024/11/01,55-64 years,Females,2.4
Capital Region,2024/11/01,65 years and over,Males,1.3
Capital Region,2024/11/01,65 years and over,Females,1.5
Capital Region,2024/10/01,15-24 years,Males,8.3
Capital Region,2024/10/01,15-24 years,Females,6
Capital Region,2024/10/01,25-34 years,Males,1.9
Capital Region,2024/10/01,25-34 years,Females,3.1
Capital Region,2024/10/01,35-44 years,Males,1.7
Capital Region,2024/10/01,35-44 years,Females,2.7
Capital Region,2024/10/01,45-54 years,Males,1.9
Capital Region,2024/10/01,45-54 years,Females,1.8
Capital Region,2024/10/01,55-64 years,Males,2.3
Capital Region,2024/10/01,55-64 years,Females,2.9
Capital Region,2024/10/01,65 years and over,Males,1.2
Capital Region,2024/10/01,65 years and over,Females,1.4
Capital Region,2024/09/01,15-24 years,Males,8.2
Capital Region,2024/09/01,15-24 years,Females,6.1
Capital Region,2024/09/01,25-34 years,Males,1.9
Capital Region,2024/09/01,25-34 years,Females,3
Capital Region,2024/09/01,35-44 years,Males,1.7
Capital Region,2024/09/01,35-44 years,Females,2.7
Capital Region,2024/09/01,45-54 years,Males,2
Capital Region,2024/09/01,45-54 years,Females,1.8
Capital Region,2024/09/01,55-64 years,Males,2.2
Capital Region,2024/09/01,55-64 years,Females,3
Capital Region,2024/09/01,65 years and over,Males,1.2
Capital Region,2024/09/01,65 years and over,Females,1.6
Capital Region,2024/08/01,15-24 years,Males,9.1
Capital Region,2024/08/01,15-24 years,Females,6.7
Capital Region,2024/08/01,25-34 years,Males,2.2
Capital Region,2024/08/01,25-34 years,Females,3.1
Capital Region,2024/08/01,35-44 years,Males,1.8
Capital Region,2024/08/01,35-44 years,Females,3
Capital Region,2024/08/01,45-54 years,Males,2.3
Capital Region,2024/08/01,45-54 years,Females,2
Capital Region,2024/08/01,55-64 years,Males,2.3
Capital Region,2024/08/01,55-64 years,Females,3.2
Capital Region,2024/08/01,65 years and over,Males,1.3
Capital Region,2024/08/01,65 years and over,Females,1.7
Capital Region,2024/07/01,15-24 years,Males,8.4
Capital Region,2024/07/01,15-24 years,Females,6.2
Capital Region,2024/07/01,25-34 years,Males,2.1
Capital Region,2024/07/01,25-34 years,Females,2.8
Capital Region,2024/07/01,35-44 years,Males,1.7
Capital Region,2024/07/01,35-44 years,Females,2.8
Capital Region,2024/07/01,45-54 years,Males,2.2
Capital Region,2024/07/01,45-54 years,Females,1.9
Capital Region,2024/07/01,55-64 years,Males,2
Capital Region,2024/07/01,55-64 years,Females,2.7
Capital Region,2024/07/01,65 years and over,Males,1.2
Capital Region,2024/07/01,65 years and over,Females,1.1
Capital Region,2024/06/01,15-24 years,Males,7.7
Capital Region,2024/06/01,15-24 years,Females,6.1
Capital Region,2024/06/01,25-34 years,Males,2.1
Capital Region,2024/06/01,25-34 years,Females,2.6
Capital Region,2024/06/01,35-44 years,Males,1.5
Capital Region,2024/06/01,35-44 years,Females,2.7
Capital Region,2024/06/01,45-54 years,Males,2.1
Capital Region,2024/06/01,45-54 years,Females,1.9
Capital Region,2024/06/01,55-64 years,Males,1.9
Capital Region,2024/06/01,55-64 years,Females,2.4
Capital Region,2024/06/01,65 years and over,Males,1.1
Capital Region,2024/06/01,65 years and over,Females,1
Capital Region,2024/05/01,15-24 years,Males,7.1
Capital Region,2024/05/01,15-24 years,Females,5.9
Capital Region,2024/05/01,25-34 years,Males,1.9
Capital Region,2024/05/01,25-34 years,Females,2.3
Capital Region,2024/05/01,35-44 years,Males,1.3
Capital Region,2024/05/01,35-44 years,Females,2.4
Capital Region,2024/05/01,45-54 years,Males,1.9
Capital Region,2024/05/01,45-54 years,Females,1.7
Capital Region,2024/05/01,55-64 years,Males,1.7
Capital Region,2024/05/01,55-64 years,Females,2.3
Capital Region,2024/05/01,65 years and over,Males,1
Capital Region,2024/05/01,65 years and over,Females,1
Capital Region,2024/04/01,15-24 years,Males,8.3
Capital Region,2024/04/01,15-24 years,Females,7.3
Capital Region,2024/04/01,25-34 years,Males,2.4
Capital Region,2024/04/01,25-34 years,Females,2.6
Capital Region,2024/04/01,35-44 years,Males,1.5
Capital Region,2024/04/01,35-44 years,Females,2.8
Capital Region,2024/04/01,45-54 years,Males,2.3
Capital Region,2024/04/01,45-54 years,Females,2.1
Capital Region,2024/04/01,55-64 years,Males,1.9
Capital Region,2024/04/01,55-64 years,Females,3
Capital Region,2024/04/01,65 years and over,Males,1.3
Capital Region,2024/04/01,65 years and over,Females,1.6
Capital Region,2024/03/01,15-24 years,Males,8.1
Capital Region,2024/03/01,15-24 years,Females,7.2
Capital Region,2024/03/01,25-34 years,Males,2.4
Capital Region,2024/03/01,25-34 years,Females,2.3
Capital Region,2024/03/01,35-44 years,Males,1.5
Capital Region,2024/03/01,35-44 years,Females,2.6
Capital Region,2024/03/01,45-54 years,Males,2.3
Capital Region,2024/03/01,45-54 years,Females,2
Capital Region,2024/03/01,55-64 years,Males,1.8
Capital Region,2024/03/01,55-64 years,Females,3.2
Capital Region,2024/03/01,65 years and over,Males,1.3
Capital Region,2024/03/01,65 years and over,Females,2.8
Capital Region,2024/02/01,15-24 years,Males,6.7
Capital Region,2024/02/01,15-24 years,Females,6.1
Capital Region,2024/02/01,25-34 years,Males,2.1
Capital Region,2024/02/01,25-34 years,Females,1.8
Capital Region,2024/02/01,35-44 years,Males,1.2
Capital Region,2024/02/01,35-44 years,Females,2.1
Capital Region,2024/02/01,45-54 years,Males,2
Capital Region,2024/02/01,45-54 years,Females,1.7
Capital Region,2024/02/01,55-64 years,Males,1.4
Capital Region,2024/02/01,55-64 years,Females,2.7
Capital Region,2024/02/01,65 years and over,Males,1.1
Capital Region,2024/02/01,65 years and over,Females,3.1
Capital Region,2024/01/01,15-24 years,Males,8.9
Capital Region,2024/01/01,15-24 years,Females,8.1
Capital Region,2024/01/01,25-34 years,Males,3
Capital Region,2024/01/01,25-34 years,Females,2.4
Capital Region,2024/01/01,35-44 years,Males,1.7
Capital Region,2024/01/01,35-44 years,Females,2.6
